iso_code,first_letter,date,indicator,value,indicator_name
Benin,B,18-May-22,Total Confirmed Cases,26952,Total Confirmed Cases
Botswana,B,18-May-22,Total Confirmed Cases,306614,Total Confirmed Cases
Burkina Faso,B,18-May-22,Total Confirmed Cases,20899,Total Confirmed Cases
Burundi,B,18-May-22,Total Confirmed Cases,41606,Total Confirmed Cases
C.A.R,C,18-May-22,Total Confirmed Cases,14649,Total Confirmed Cases
Cameroon,C,18-May-22,Total Confirmed Cases,119780,Total Confirmed Cases
Cape Verde,C,18-May-22,Total Confirmed Cases,56127,Total Confirmed Cases
Chad,C,18-May-22,Total Confirmed Cases,7415,Total Confirmed Cases
Comoros,C,18-May-22,Total Confirmed Cases,8110,Total Confirmed Cases
Congo,C,18-May-22,Total Confirmed Cases,24079,Total Confirmed Cases
Cote d'Ivoire,C,18-May-22,Total Confirmed Cases,82020,Total Confirmed Cases
D.R.C,D,18-May-22,Total Confirmed Cases,87633,Total Confirmed Cases
Djibouti,D,18-May-22,Total Confirmed Cases,15631,Total Confirmed Cases
Egypt,E,18-May-22,Total Confirmed Cases,515645,Total Confirmed Cases
Eq. Guinea,E,18-May-22,Total Confirmed Cases,15910,Total Confirmed Cases
Eritrea,E,18-May-22,Total Confirmed Cases,9751,Total Confirmed Cases
Ethiopia,E,18-May-22,Total Confirmed Cases,471089,Total Confirmed Cases
Gabon,G,18-May-22,Total Confirmed Cases,47608,Total Confirmed Cases
Gambia,G,18-May-22,Total Confirmed Cases,11999,Total Confirmed Cases
Ghana,G,18-May-22,Total Confirmed Cases,161325,Total Confirmed Cases
Guinea,G,18-May-22,Total Confirmed Cases,36661,Total Confirmed Cases
Guinea-Bissau,G,18-May-22,Total Confirmed Cases,8240,Total Confirmed Cases
Kenya,K,18-May-22,Total Confirmed Cases,324097,Total Confirmed Cases
Lesotho,L,18-May-22,Total Confirmed Cases,33305,Total Confirmed Cases
Liberia,L,18-May-22,Total Confirmed Cases,7452,Total Confirmed Cases
Libya,L,18-May-22,Total Confirmed Cases,501954,Total Confirmed Cases
Madagascar,M,18-May-22,Total Confirmed Cases,64276,Total Confirmed Cases
Malawi,M,18-May-22,Total Confirmed Cases,85898,Total Confirmed Cases
Mali,M,18-May-22,Total Confirmed Cases,31041,Total Confirmed Cases
Mauritania,M,18-May-22,Total Confirmed Cases,58920,Total Confirmed Cases
Mauritius,M,18-May-22,Total Confirmed Cases,223793,Total Confirmed Cases
Morocco,M,18-May-22,Total Confirmed Cases,1166100,Total Confirmed Cases
Mozambique,M,18-May-22,Total Confirmed Cases,225539,Total Confirmed Cases
Namibia,N,18-May-22,Total Confirmed Cases,160640,Total Confirmed Cases
Niger,N,18-May-22,Total Confirmed Cases,9031,Total Confirmed Cases
Nigeria,N,18-May-22,Total Confirmed Cases,255889,Total Confirmed Cases
Rwanda,R,18-May-22,Total Confirmed Cases,129942,Total Confirmed Cases
Saint Helena,S,18-May-22,Total Confirmed Cases,4,Total Confirmed Cases
Sao Tome & P.,S,18-May-22,Total Confirmed Cases,5973,Total Confirmed Cases
Senegal,S,18-May-22,Total Confirmed Cases,86055,Total Confirmed Cases
Seychelles,S,18-May-22,Total Confirmed Cases,43563,Total Confirmed Cases
Sierra Leone,S,18-May-22,Total Confirmed Cases,7682,Total Confirmed Cases
Somalia,S,18-May-22,Total Confirmed Cases,26521,Total Confirmed Cases
South Africa,S,18-May-22,Total Confirmed Cases,3908020,Total Confirmed Cases
South Sudan,S,18-May-22,Total Confirmed Cases,17551,Total Confirmed Cases
Sudan,S,18-May-22,Total Confirmed Cases,62211,Total Confirmed Cases
Swaziland,S,18-May-22,Total Confirmed Cases,71934,Total Confirmed Cases
Tanzania,T,18-May-22,Total Confirmed Cases,35354,Total Confirmed Cases
Togo,T,18-May-22,Total Confirmed Cases,37029,Total Confirmed Cases
Tunisia,T,18-May-22,Total Confirmed Cases,1041789,Total Confirmed Cases
Uganda,U,18-May-22,Total Confirmed Cases,164153,Total Confirmed Cases
Zambia,Z,18-May-22,Total Confirmed Cases,320680,Total Confirmed Cases
Zimbabwe,Z,18-May-22,Total Confirmed Cases,250007,Total Confirmed Cases
Algeria,A,18-May-22,Total Confirmed Deaths,6875,Total Confirmed Deaths
Angola,A,18-May-22,Total Confirmed Deaths,1900,Total Confirmed Deaths
Benin,B,18-May-22,Total Confirmed Deaths,163,Total Confirmed Deaths
Botswana,B,18-May-22,Total Confirmed Deaths,2692,Total Confirmed Deaths
Burkina Faso,B,18-May-22,Total Confirmed Deaths,384,Total Confirmed Deaths
Burundi,B,18-May-22,Total Confirmed Deaths,38,Total Confirmed Deaths
C.A.R,C,18-May-22,Total Confirmed Deaths,113,Total Confirmed Deaths
Cameroon,C,18-May-22,Total Confirmed Deaths,1927,Total Confirmed Deaths
Cape Verde,C,18-May-22,Total Confirmed Deaths,401,Total Confirmed Deaths
Chad,C,18-May-22,Total Confirmed Deaths,193,Total Confirmed Deaths
Comoros,C,18-May-22,Total Confirmed Deaths,160,Total Confirmed Deaths
Congo,C,18-May-22,Total Confirmed Deaths,385,Total Confirmed Deaths
Cote d'Ivoire,C,18-May-22,Total Confirmed Deaths,799,Total Confirmed Deaths
D.R.C,D,18-May-22,Total Confirmed Deaths,1338,Total Confirmed Deaths
Djibouti,D,18-May-22,Total Confirmed Deaths,189,Total Confirmed Deaths
Egypt,E,18-May-22,Total Confirmed Deaths,24690,Total Confirmed Deaths
Eq. Guinea,E,18-May-22,Total Confirmed Deaths,183,Total Confirmed Deaths
Eritrea,E,18-May-22,Total Confirmed Deaths,103,Total Confirmed Deaths
Ethiopia,E,18-May-22,Total Confirmed Deaths,7512,Total Confirmed Deaths
Gabon,G,18-May-22,Total Confirmed Deaths,304,Total Confirmed Deaths
Gambia,G,18-May-22,Total Confirmed Deaths,365,Total Confirmed Deaths
Ghana,G,18-May-22,Total Confirmed Deaths,1445,Total Confirmed Deaths
Guinea,G,18-May-22,Total Confirmed Deaths,442,Total Confirmed Deaths
Guinea-Bissau,G,18-May-22,Total Confirmed Deaths,171,Total Confirmed Deaths
Kenya,K,18-May-22,Total Confirmed Deaths,5649,Total Confirmed Deaths
Lesotho,L,18-May-22,Total Confirmed Deaths,698,Total Confirmed Deaths
Liberia,L,18-May-22,Total Confirmed Deaths,294,Total Confirmed Deaths
Libya,L,18-May-22,Total Confirmed Deaths,6430,Total Confirmed Deaths
Madagascar,M,18-May-22,Total Confirmed Deaths,1393,Total Confirmed Deaths
Malawi,M,18-May-22,Total Confirmed Deaths,2637,Total Confirmed Deaths
Mali,M,18-May-22,Total Confirmed Deaths,734,Total Confirmed Deaths
Mauritania,M,18-May-22,Total Confirmed Deaths,982,Total Confirmed Deaths
Mauritius,M,18-May-22,Total Confirmed Deaths,996,Total Confirmed Deaths
Morocco,M,18-May-22,Total Confirmed Deaths,16075,Total Confirmed Deaths
Mozambique,M,18-May-22,Total Confirmed Deaths,2201,Total Confirmed Deaths
Namibia,N,18-May-22,Total Confirmed Deaths,4031,Total Confirmed Deaths
Niger,N,18-May-22,Total Confirmed Deaths,310,Total Confirmed Deaths
Nigeria,N,18-May-22,Total Confirmed Deaths,3143,Total Confirmed Deaths
Rwanda,R,18-May-22,Total Confirmed Deaths,1459,Total Confirmed Deaths
Sao Tome & P.,S,18-May-22,Total Confirmed Deaths,73,Total Confirmed Deaths
Senegal,S,18-May-22,Total Confirmed Deaths,1966,Total Confirmed Deaths
Seychelles,S,18-May-22,Total Confirmed Deaths,167,Total Confirmed Deaths
Sierra Leone,S,18-May-22,Total Confirmed Deaths,125,Total Confirmed Deaths
Somalia,S,18-May-22,Total Confirmed Deaths,1361,Total Confirmed Deaths
South Africa,S,18-May-22,Total Confirmed Deaths,100867,Total Confirmed Deaths
South Sudan,S,18-May-22,Total Confirmed Deaths,138,Total Confirmed Deaths
Sudan,S,18-May-22,Total Confirmed Deaths,4937,Total Confirmed Deaths
Swaziland,S,18-May-22,Total Confirmed Deaths,1403,Total Confirmed Deaths
Tanzania,T,18-May-22,Total Confirmed Deaths,840,Total Confirmed Deaths
Togo,T,18-May-22,Total Confirmed Deaths,273,Total Confirmed Deaths
Tunisia,T,18-May-22,Total Confirmed Deaths,28628,Total Confirmed Deaths
Uganda,U,18-May-22,Total Confirmed Deaths,3598,Total Confirmed Deaths
Zambia,Z,18-May-22,Total Confirmed Deaths,3983,Total Confirmed Deaths
Zimbabwe,Z,18-May-22,Total Confirmed Deaths,5486,Total Confirmed Deaths
Algeria,A,07-Mar-22,Total Tests,230553,Total Tests
Angola,A,28-Mar-22,Total Tests,1491179,Total Tests
Botswana,B,18-May-22,Total Tests,2285160,Total Tests
Burkina Faso,B,07-Mar-22,Total Tests,324352,Total Tests
Burundi,B,18-May-22,Total Tests,1553040,Total Tests
C.A.R,C,18-Apr-22,Total Tests,89503,Total Tests
Cameroon,C,18-May-22,Total Tests,2708084,Total Tests
Chad,C,18-May-22,Total Tests,216097,Total Tests
Comoros,C,18-May-22,Total Tests,100289,Total Tests
Cote d'Ivoire,C,18-May-22,Total Tests,1512337,Total Tests
Djibouti,D,18-May-22,Total Tests,307578,Total Tests
Egypt,E,07-Mar-22,Total Tests,5997796,Total Tests
Eq. Guinea,E,28-Feb-22,Total Tests,463549,Total Tests
Eritrea,E,07-Mar-22,Total Tests,23693,Total Tests
Ethiopia,E,18-May-22,Total Tests,4846721,Total Tests
Gabon,G,18-Apr-22,Total Tests,1591228,Total Tests
Gambia,G,20-Dec-21,Total Tests,131044,Total Tests
Ghana,G,18-May-22,Total Tests,2445003,Total Tests
Guinea,G,07-Mar-22,Total Tests,626043,Total Tests
Guinea-Bissau,G,18-May-22,Total Tests,136655,Total Tests
Kenya,K,18-May-22,Total Tests,3637594,Total Tests
Lesotho,L,18-May-22,Total Tests,450386,Total Tests
Madagascar,M,16-Aug-21,Total Tests,234622,Total Tests
Malawi,M,18-May-22,Total Tests,579375,Total Tests
Mali,M,18-May-22,Total Tests,689351,Total Tests
Mauritania,M,18-Apr-22,Total Tests,921994,Total Tests
Mauritius,M,07-Mar-22,Total Tests,359627,Total Tests
Morocco,M,16-May-22,Total Tests,11565683,Total Tests
Mozambique,M,18-May-22,Total Tests,1320827,Total Tests
Namibia,N,18-May-22,Total Tests,1020772,Total Tests
Niger,N,18-Apr-22,Total Tests,246945,Total Tests
Nigeria,N,18-Apr-22,Total Tests,4977858,Total Tests
Rwanda,R,18-May-22,Total Tests,5358487,Total Tests
Sao Tome & P.,S,11-Apr-22,Total Tests,395,Total Tests
Senegal,S,02-May-22,Total Tests,1100111,Total Tests
Sierra Leone,S,18-May-22,Total Tests,420995,Total Tests
South Africa,S,18-May-22,Total Tests,24963628,Total Tests
South Sudan,S,18-May-22,Total Tests,392400,Total Tests
Swaziland,S,18-May-22,Total Tests,538249,Total Tests
Togo,T,18-May-22,Total Tests,736781,Total Tests
Tunisia,T,28-Feb-22,Total Tests,4350544,Total Tests
Uganda,U,18-May-22,Total Tests,2681702,Total Tests
Zambia,Z,16-May-22,Total Tests,3454966,Total Tests
Zimbabwe,Z,18-May-22,Total Tests,2295541,Total Tests
Algeria,A,01-May-22,Total Vaccinations,15205854,Total Vaccinations
Angola,A,26-Apr-22,Total Vaccinations,17896626,Total Vaccinations
Benin,B,08-May-22,Total Vaccinations,3333450,Total Vaccinations
Botswana,B,08-May-22,Total Vaccinations,1920000,Total Vaccinations
Burkina Faso,B,08-May-22,Total Vaccinations,2928989,Total Vaccinations
Burundi,B,08-May-22,Total Vaccinations,12651,Total Vaccinations
C.A.R,C,01-May-22,Total Vaccinations,1037580,Total Vaccinations
Cameroon,C,26-Apr-22,Total Vaccinations,1828882,Total Vaccinations
Cape Verde,C,15-May-22,Total Vaccinations,758359,Total Vaccinations
Chad,C,26-Apr-22,Total Vaccinations,2347168,Total Vaccinations
Comoros,C,26-Apr-22,Total Vaccinations,642320,Total Vaccinations
Congo,C,15-May-22,Total Vaccinations,830379,Total Vaccinations
Cote d'Ivoire,C,08-May-22,Total Vaccinations,12387947,Total Vaccinations
D.R.C,D,06-Apr-22,Total Vaccinations,881240,Total Vaccinations
Djibouti,D,15-May-22,Total Vaccinations,185126,Total Vaccinations
Egypt,E,14-May-22,Total Vaccinations,82828973,Total Vaccinations
Eq. Guinea,E,02-May-22,Total Vaccinations,479991,Total Vaccinations
Ethiopia,E,01-May-22,Total Vaccinations,29373478,Total Vaccinations
Gabon,G,01-May-22,Total Vaccinations,556657,Total Vaccinations
Gambia,G,15-May-22,Total Vaccinations,720698,Total Vaccinations
Ghana,G,15-May-22,Total Vaccinations,14872174,Total Vaccinations
Guinea,G,01-May-22,Total Vaccinations,6111743,Total Vaccinations
Guinea-Bissau,G,24-Apr-22,Total Vaccinations,562620,Total Vaccinations
Kenya,K,15-May-22,Total Vaccinations,17992422,Total Vaccinations
Lesotho,L,26-Apr-22,Total Vaccinations,933825,Total Vaccinations
Liberia,L,26-Apr-22,Total Vaccinations,1837296,Total Vaccinations
Libya,L,12-May-22,Total Vaccinations,3456207,Total Vaccinations
Madagascar,M,15-May-22,Total Vaccinations,2369775,Total Vaccinations
Malawi,M,15-May-22,Total Vaccinations,2166402,Total Vaccinations
Mali,M,08-May-22,Total Vaccinations,1993965,Total Vaccinations
Mauritania,M,15-May-22,Total Vaccinations,2650000,Total Vaccinations
Mauritius,M,01-May-22,Total Vaccinations,2698115,Total Vaccinations
Morocco,M,15-May-22,Total Vaccinations,54528504,Total Vaccinations
Mozambique,M,15-May-22,Total Vaccinations,31616078,Total Vaccinations
Namibia,N,15-May-22,Total Vaccinations,834756,Total Vaccinations
Niger,N,15-May-22,Total Vaccinations,2845107,Total Vaccinations
Nigeria,N,15-May-22,Total Vaccinations,41091354,Total Vaccinations
Rwanda,R,15-May-22,Total Vaccinations,20141669,Total Vaccinations
Saint Helena,S,05-May-21,Total Vaccinations,7892,Total Vaccinations
Sao Tome & P.,S,08-May-22,Total Vaccinations,208657,Total Vaccinations
Senegal,S,15-May-22,Total Vaccinations,2469499,Total Vaccinations
Seychelles,S,08-May-22,Total Vaccinations,201121,Total Vaccinations
Sierra Leone,S,01-May-22,Total Vaccinations,2868978,Total Vaccinations
Somalia,S,13-May-22,Total Vaccinations,2679487,Total Vaccinations
South Africa,S,18-May-22,Total Vaccinations,35556934,Total Vaccinations
South Sudan,S,15-May-22,Total Vaccinations,723341,Total Vaccinations
Sudan,S,01-May-22,Total Vaccinations,7096087,Total Vaccinations
Swaziland,S,26-Apr-22,Total Vaccinations,535393,Total Vaccinations
Tanzania,T,01-May-22,Total Vaccinations,7280582,Total Vaccinations
Togo,T,15-May-22,Total Vaccinations,3290821,Total Vaccinations
Tunisia,T,09-May-22,Total Vaccinations,13151111,Total Vaccinations
Uganda,U,15-May-22,Total Vaccinations,20899440,Total Vaccinations
Zambia,Z,16-May-22,Total Vaccinations,4029757,Total Vaccinations
Zimbabwe,Z,18-May-22,Total Vaccinations,11568719,Total Vaccinations